programa,threads,rep,tempo_s,maquina
laplace2d_1k_gcc_i50,18,1,0.014680,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,19,1,0.014765,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,20,1,0.013547,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,21,1,0.013642,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,22,1,0.013706,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,23,1,0.012792,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,24,1,0.012225,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,25,1,0.012108,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,26,1,0.011741,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,27,1,0.011845,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,28,1,0.011212,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,29,1,0.010558,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,30,1,0.010722,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,31,1,0.010509,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,32,1,0.010398,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,33,1,0.010130,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,34,1,0.009919,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,35,1,0.009964,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,36,1,0.009809,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,37,1,0.009838,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,38,1,0.009694,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,39,1,0.009663,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,40,1,0.009569,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,41,1,0.009840,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,42,1,0.009361,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,43,1,0.009737,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,44,1,0.009378,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,45,1,0.009419,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,46,1,0.009731,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,47,1,0.009262,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1k_gcc_i50,48,1,0.009660,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
