programa,threads,rep,tempo_s,maquina
laplace2d_gcc_i500,1,10,21.921119,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,1,24.863993,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,2,23.926052,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,3,23.626986,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,4,22.938383,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,5,23.062950,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,6,22.633720,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,7,22.671675,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,8,22.432540,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,9,22.439669,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,2,10,22.251496,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,1,26.090215,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,2,36.129991,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,3,32.470289,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,4,23.537690,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,5,23.192859,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,6,23.152824,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,7,23.485131,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,8,22.700033,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,9,22.627289,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,3,10,22.480484,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,1,29.839847,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,2,30.712483,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,3,29.661931,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,4,23.492141,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,5,23.131131,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,6,23.004614,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,7,23.422308,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,8,23.899598,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,9,22.778082,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,4,10,22.746251,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
